GET /users/new 304 - - 4.945 ms
GET /users/new 304 - - 3.426 ms
POST /users/new 400 114 - 45.803 ms
POST /users/new 200 36 - 5.666 ms
POST /users/new 201 191 - 49.292 ms
POST /users/new 400 118 - 8.313 ms
POST /users/new 400 118 - 4.611 ms
POST /users/new 400 195 - 33.358 ms
POST /users/new 400 139 - 33.510 ms
POST /users/new 400 142 - 6.300 ms
::1 - - [07/Aug/2022:08:50:38 +0000] "GET /tickets/new HTTP/1.1" 200 16 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"
::1 - - [07/Aug/2022:08:56:17 +0000] "POST /users/new HTTP/1.1" 400 107 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:08:57:27 +0000] "POST /users/new HTTP/1.1" 400 107 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:00:05 +0000] "POST /users/new HTTP/1.1" 400 107 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:00:42 +0000] "POST /users/new HTTP/1.1" 400 144 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:00:59 +0000] "POST /users/new HTTP/1.1" 400 107 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:01:51 +0000] "POST /users/new HTTP/1.1" 400 107 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:02:25 +0000] "POST /users/new HTTP/1.1" 400 107 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:03:32 +0000] "POST /users/new HTTP/1.1" 400 118 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:03:38 +0000] "POST /users/new HTTP/1.1" 201 191 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:06:22 +0000] "POST /users/new HTTP/1.1" 201 191 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:09:01 +0000] "POST /tickets/new HTTP/1.1" 200 16 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:12:55 +0000] "POST /tickets/new HTTP/1.1" 200 16 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:13:34 +0000] "POST /tickets/new HTTP/1.1" 200 16 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:13:50 +0000] "POST /tickets/new HTTP/1.1" 200 16 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:14:44 +0000] "POST /tickets/new HTTP/1.1" 200 16 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:15:10 +0000] "POST /tickets/new HTTP/1.1" 200 16 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:20:41 +0000] "POST /tickets/new HTTP/1.1" 401 23 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:22:07 +0000] "POST /tickets/new HTTP/1.1" 401 23 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:22:22 +0000] "POST /tickets/new HTTP/1.1" 401 23 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:24:16 +0000] "POST /tickets/new HTTP/1.1" 401 23 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:24:34 +0000] "POST /tickets/new HTTP/1.1" 401 23 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:25:04 +0000] "POST /tickets/new HTTP/1.1" 401 23 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:27:30 +0000] "POST /tickets/new HTTP/1.1" 401 23 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:27:59 +0000] "POST /tickets/new HTTP/1.1" 401 23 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:28:59 +0000] "POST /users/new HTTP/1.1" 201 192 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:29:22 +0000] "POST /tickets/new HTTP/1.1" 401 23 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:30:09 +0000] "POST /tickets/new HTTP/1.1" 200 16 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:35:10 +0000] "POST /tickets/new HTTP/1.1" 400 108 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:35:17 +0000] "POST /tickets/new HTTP/1.1" 200 16 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:36:48 +0000] "POST /tickets/new HTTP/1.1" 400 108 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:36:54 +0000] "POST /tickets/new HTTP/1.1" 400 108 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:43:05 +0000] "POST /tickets/new HTTP/1.1" 201 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:51:42 +0000] "GET /tickets/all HTTP/1.1" - - "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:09:53:40 +0000] "GET /tickets/all HTTP/1.1" 200 201 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:05:06 +0000] "GET /tickets/all HTTP/1.1" 500 55 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:06:00 +0000] "GET /tickets?status=open HTTP/1.1" 404 39 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:06:21 +0000] "GET /tickets/?status=open HTTP/1.1" 404 39 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:09:56 +0000] "GET /tickets/all HTTP/1.1" 500 56 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:10:05 +0000] "GET /tickets/all HTTP/1.1" 200 201 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:13:34 +0000] "GET /tickets/?status=open HTTP/1.1" 500 55 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:13:43 +0000] "GET /tickets/all HTTP/1.1" 500 55 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:14:21 +0000] "GET /tickets/all HTTP/1.1" 200 201 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:14:55 +0000] "GET /tickets/all HTTP/1.1" 500 55 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:15:27 +0000] "GET /tickets/all HTTP/1.1" 500 55 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:15:37 +0000] "GET /tickets/all HTTP/1.1" 500 55 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:15:58 +0000] "GET /tickets/all HTTP/1.1" 500 55 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:16:17 +0000] "GET /tickets/all HTTP/1.1" 500 63 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:17:19 +0000] "GET /tickets/all HTTP/1.1" 200 201 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:17:51 +0000] "GET /tickets/all HTTP/1.1" 200 201 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:18:09 +0000] "GET /tickets/?status=open HTTP/1.1" 200 201 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:18:19 +0000] "GET /tickets/?status=close HTTP/1.1" 200 2 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:18:28 +0000] "GET /tickets/?title=close HTTP/1.1" 200 2 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:18:34 +0000] "GET /tickets/?title=title1 HTTP/1.1" 200 201 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:18:45 +0000] "GET /tickets/?priority=low HTTP/1.1" 200 201 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:18:50 +0000] "GET /tickets/?priority=medium HTTP/1.1" 200 2 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:28:37 +0000] "POST /users/new HTTP/1.1" 201 195 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:29:22 +0000] "POST /users/new HTTP/1.1" 201 193 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:35:02 +0000] "POST /tickets/new HTTP/1.1" 401 23 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:35:25 +0000] "POST /users/new HTTP/1.1" 201 192 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:35:56 +0000] "POST /tickets/new HTTP/1.1" 201 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:36:22 +0000] "POST /tickets/new HTTP/1.1" 201 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:36:40 +0000] "POST /tickets/new HTTP/1.1" 201 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:37:21 +0000] "POST /tickets/new HTTP/1.1" 201 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:38:48 +0000] "POST /tickets/new HTTP/1.1" 201 33 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:43:33 +0000] "POST /tickets/62ef95e16b6cc85f5c6d6f45/markasclosed HTTP/1.1" 401 48 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:44:21 +0000] "POST /tickets/62ef95e16b6cc85f5c6d6f45/markasclosed HTTP/1.1" 200 370 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:46:21 +0000] "POST /tickets/62ef95e16b6cc85f5c6d6f45/markasclosed HTTP/1.1" 200 210 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:47:25 +0000] "POST /tickets/62ef95e16b6cc85f5c6d6f45/markasclosed HTTP/1.1" 200 210 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:52:37 +0000] "POST /tickets/62ef95e16b6cc85f5c6d6f45/markasclosed HTTP/1.1" 200 210 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:53:18 +0000] "POST /tickets/62ef95e16b6cc85f5c6d6f45/markasclosed HTTP/1.1" 200 210 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:53:51 +0000] "POST /tickets/62ef95e16b6cc85f5c6d6f45/markasclosed HTTP/1.1" 200 210 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:55:12 +0000] "POST /tickets/62ef95e16b6cc85f5c6d6f45/markasclosed HTTP/1.1" 200 210 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:10:58:02 +0000] "POST /tickets/62ef95e16b6cc85f5c6d6f45/markasclosed HTTP/1.1" 200 210 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:11:14:16 +0000] "POST /tickets/62ef95e16b6cc85f5c6d6f45/markasclosed HTTP/1.1" 400 306 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:11:14:48 +0000] "POST /tickets/62ef95e16b6cc85f5c6d6f45/markasclosed HTTP/1.1" 400 53 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:11:17:16 +0000] "POST /tickets/62ef95e16b6cc85f5c6d6f45/markasclosed HTTP/1.1" 500 143 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:11:18:25 +0000] "POST /tickets/62ef95e16b6cc85f5c6d6f45/markasclosed HTTP/1.1" 200 36 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:11:27:47 +0000] "POST /tickets/62ef95e16b6cc85f5c6d6f45/delete HTTP/1.1" 200 37 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:11:28:53 +0000] "POST /users/new HTTP/1.1" 201 192 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:11:29:33 +0000] "POST /tickets/62ef95a677e197d4f8a2723f/delete HTTP/1.1" 403 49 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Aug/2022:11:39:58 +0000] "POST /tickets/62ef8929149e91e25f0ffa84/markasclosed HTTP/1.1" 403 33 "-" "PostmanRuntime/7.29.0"
